"DVD_Title","Studio","Released","Status","Sound","Versions","Price","Rating","Year","Genre","Aspect","UPC","DVD_ReleaseDate","ID","Timestamp","Updated"
"009-1 (FUNimation): The Complete Collection","FUNimation",,"Out","SUB","LBX, 16:9",49.98,"MA13","2005","Anime","1.85:1","704400097904",2009-01-20 00:00:00,149184,2008-11-15 00:00:00,1
"13 Going On 30 (Blu-ray)","Columbia/Tri-Star",,"Out","5.1","LBX, 16:9, BLU-RAY",28.95,"PG-13","2004","Comedy","1.85:1","043396286306",2009-01-20 00:00:00,149083,2008-11-15 00:00:00,1
"18 Year Old Virgin","Asylum Home Entertainment",,"Out","2.0","4:3",24.95,"NR","2009","Comedy","1.33:1","686340221642",2009-01-20 00:00:00,149715,2008-11-22 00:00:00,1
"30 Minutes To Fitness: Weights Workout With Kelly Coffey-Meyer","BayView Films",,"Out","2.0","4:3",19.99,"NR","2009","Exercise","1.33:1","874482008324",2009-01-20 00:00:00,149064,2008-11-14 00:00:00,1
"Air Marshall","First Look",2009-04-07 00:00:00,"Pending","2.0","4:3",9.98,"NR","UNK","Action/Adventure","1.33:1","687797320193",2009-04-07 00:00:00,153345,2009-01-20 00:00:00,0
"AmericanEast [American East]","MGM/UA",,"Out","5.1","LBX, 16:9",26.98,"R","2007","Drama","1.85:1","883904122869",2009-01-20 00:00:00,148518,2008-11-07 00:00:00,1
"Amusement","New Line",,"Out","5.1","LBX, 16:9",27.95,"R","2008","Horror","2.35:1","794043123276",2009-01-20 00:00:00,149657,2008-11-22 00:00:00,1
"Amusement (Blu-ray)","New Line",,"Out","5.1 TRUEHD","LBX, 16:9, BLU-RAY",35.99,"R","2008","Horror","2.35:1","794043124068",2009-01-20 00:00:00,149665,2008-11-22 00:00:00,1
"Amy Winehouse: Revving @ 4500 RPM's & Justified: Unauthorized","Azure",,"Out","2.0","4:3",14.95,"NR","UNK","Music","1.33:1","655690301908",2009-01-20 00:00:00,149718,2008-11-22 00:00:00,1
"Angry Joe Bass","Jef Films",2009-03-31 00:00:00,"Pending","2.0","4:3",19.95,"NR","1976","Action/Adventure","1.33:1","018619722831",2009-03-31 00:00:00,153346,2009-01-20 00:00:00,0
"Animalia: Talent-O-Topia (Blu-ray)","Porchlight Entertainment",,"Out","5.1","LBX, 16:9, BLU-RAY",29.98,"NR","2008","Animation","1.78:1","810863010876",2009-01-20 00:00:00,147270,2009-01-18 00:00:00,1
"Another Man's Garden","First Run Features",,"Out","SUB","LBX",24.95,"NR","UNK","Foreign","1.85:1","720229913577",2009-01-20 00:00:00,147575,2008-10-18 00:00:00,1
"Anthony B: Live","Natural Video",,"Out","2.0","4:3",16.95,"NR","UNK","Music","1.33:1","670929111011",2009-01-20 00:00:00,149271,2008-11-16 00:00:00,1
"Anton Fig: IIn The Groove","Alfred Publishing",,"Out","2.0","4:3",19.95,"NR","UNK","Special Interest","1.33:1","038081336442",2009-01-20 00:00:00,153161,2009-01-16 00:00:00,1
"Antwone Fisher (Widescreen/ Blu-ray)","Fox",,"Out","5.1","LBX, 16:9, BLU-RAY",29.99,"PG-13","2002","Drama","2.35:1","024543565000",2009-01-20 00:00:00,147012,2008-11-04 00:00:00,1
